t_s,r_amp
76.744,0.02462
76.762,0.02331
76.782,0.02498
76.804,0.0243
76.84,0.02138
76.862,-0.01168
76.94,0.04708
76.962,0.04771
77.022,0.36567
77.062,-0.09685
77.104,0.09923
77.162,0.06882
77.182,0.07767
77.222,0.05013
77.282,0.07246
77.304,0.08297
77.362,0.01676
77.404,0.02965
77.422,0.03522
77.442,0.03216
77.52,0.02331
77.542,0.02511
77.564,0.02475
77.686,0.0487
77.704,0.05229
77.72,0.05018
77.742,0.04187
77.772,0.35723
77.844,0.10256
77.862,0.10799
77.902,0.07075
77.922,0.06523
77.938,0.05579
77.962,0.04057
78.04,0.06469
78.058,0.06577
78.122,-0.00845
78.142,0.00072
78.162,0.01289
78.182,0.01491
78.24,4e-05
78.262,0.00162
78.302,0.00018
78.322,-0.00553
78.34,-0.00831
78.378,-0.04757
78.444,0.03526
78.46,0.04052
78.482,0.04272
78.502,0.03863
78.536,0.38113
78.622,0.11523
78.722,0.05521
78.82,0.07817
78.9,0.00211
78.922,4e-05
78.94,0.00687
78.982,0.00409
79.022,0.00162
79.04,0.00355
79.064,0.00153
79.084,0.0058
79.222,0.04762
79.26,0.05193
79.306,0.32776
79.348,-0.1279
79.382,0.09074
79.522,0.01801
79.542,0.0221
79.564,0.02947
79.582,0.04331
79.624,0.01397
79.66,0.00921
79.702,0.01819
79.724,0.01959
79.762,0.0208
79.78,0.01577
79.82,0.02309
79.938,0.03908
79.98,0.04429
80.026,0.29056
80.07,-0.12861
80.122,0.07853
80.14,0.06451
80.16,0.05027
80.182,0.04825
80.198,0.04205
80.218,0.03167
80.26,0.02179
80.28,0.03059
80.302,0.04295
80.322,0.03769
80.362,0.01334
80.38,0.01491
80.402,0.00665
80.422,0.01905
80.462,0.02457
80.482,0.02763
80.5,0.02224
80.52,0.02534
80.562,0.02641
80.578,0.01617
80.616,-0.02421
80.682,0.05207
80.742,0.04461
80.772,0.34631
80.862,0.11734
80.88,0.09474
80.9,0.08302
80.92,0.07035
80.94,0.07439
80.982,0.04407
81.002,0.04007
81.022,0.05319
81.042,0.07179
81.062,0.06595
81.122,0.00139
81.142,0.00997
81.162,0.01622
81.178,0.02066
81.2,0.02331
81.22,0.02084
81.24,0.01491
81.264,0.01532
81.28,0.01815
81.302,0.01783
81.342,0.00283
81.4,-0.0438
81.462,0.03841
81.502,0.04766
81.52,0.04753
81.556,0.38382
81.644,0.12291
81.72,0.07835
81.74,0.06289
81.824,0.06357
81.842,0.06896
81.92,0.01105
81.942,0.02246
81.98,0.02556
82.022,0.00916
82.06,0.01819
82.082,0.00737
82.12,0.00827
82.144,0.00099
82.158,-0.00337
82.182,-0.02974
82.26,0.04546
82.278,0.04263
82.3,0.04429
82.344,0.31554
82.384,-0.11554
82.424,0.0832
82.48,0.05804
82.502,0.0451
82.52,0.03199
82.56,0.00755
82.582,0.00822
82.602,0.02579
82.622,0.03275
82.718,0.01527
82.76,0.02013
82.782,0.02426
82.8,0.01995
82.82,0.02547
82.84,0.0283
82.86,0.02035
82.882,0.02331
82.902,0.01208
82.938,-0.03216
83.024,0.04272
83.042,0.04263
83.06,0.03971
83.098,0.31221
83.138,-0.12129
83.184,0.08001
83.242,0.04977
83.258,0.04955
83.362,0.05157
83.378,0.04632
83.4,0.03688
83.422,0.00961
83.438,0.00867
83.46,0.01168
83.48,0.00687
83.502,0.01891
83.522,0.02713
83.562,0.02475
83.6,0.02691
83.618,0.02296
83.64,0.01442
83.662,0.01469
83.68,0.0093
83.702,-0.02066
83.782,0.05534
83.802,0.05782
83.818,0.04789
83.862,0.38759
83.902,-0.11657
83.942,0.10314
84.002,0.06437
84.02,0.0628
84.078,0.03181
84.142,0.07709
84.2,0.00858
84.24,0.01442
84.26,0.02102
84.284,0.01977
84.302,0.02727
84.318,0.0133
84.34,0.0137
84.398,0.00777
84.458,-0.03216
84.522,0.04384
