t_s,bpm
944.224,3750.0
944.252,2142.8571428571427
944.27,3333.3333333333335
944.29,3000.0
944.306,3750.0
944.328,2727.2727272727275
944.35,2727.2727272727275
944.37,3000.0
944.39,3000.0
944.408,3333.3333333333335
944.43,2727.2727272727275
944.452,2727.2727272727275
944.47,3333.3333333333335
944.488,3333.3333333333335
944.51,2727.2727272727275
944.53,3000.0
944.55,3000.0
944.572,2727.2727272727275
944.592,3000.0
944.608,3750.0
944.632,2500.0
944.65,3333.3333333333335
944.68,2000.0
944.736,1071.4285714285713
944.75,4285.714285714285
944.772,2727.2727272727275
944.788,3750.0
944.808,3000.0
944.83,2727.2727272727275
944.85,3000.0
944.868,3333.3333333333335
944.89,2727.2727272727275
944.91,3000.0
944.932,2727.2727272727275
944.95,3333.3333333333335
944.966,3750.0
944.99,2500.0
945.01,3000.0
945.032,2727.2727272727275
945.054,2727.2727272727275
945.07,3750.0
945.092,2727.2727272727275
945.11,3333.3333333333335
945.126,3750.0
945.148,2727.2727272727275
945.172,2500.0
945.192,3000.0
945.212,3000.0
945.23,3333.3333333333335
945.25,3000.0
945.268,3333.3333333333335
945.288,3000.0
945.324,1666.6666666666667
945.356,1875.0
945.376,3000.0
945.392,3750.0
945.408,3750.0
945.43,2727.2727272727275
945.45,3000.0
945.474,2500.0
945.492,3333.3333333333335
945.51,3333.3333333333335
945.53,3000.0
945.55,3000.0
945.568,3333.3333333333335
945.59,2727.2727272727275
945.608,3333.3333333333335
945.628,3000.0
945.65,2727.2727272727275
945.67,3000.0
945.69,3000.0
945.71,3000.0
945.73,3000.0
945.75,3000.0
945.77,3000.0
945.79,3000.0
945.808,3333.3333333333335
945.828,3000.0
945.852,2500.0
945.868,3750.0
945.89,2727.2727272727275
945.908,3333.3333333333335
945.93,2727.2727272727275
945.948,3333.3333333333335
945.99,1428.5714285714284
946.012,2727.2727272727275
946.032,3000.0
946.048,3750.0
946.072,2500.0
946.09,3333.3333333333335
946.11,3000.0
946.128,3333.3333333333335
946.15,2727.2727272727275
946.17,3000.0
946.192,2727.2727272727275
946.21,3333.3333333333335
946.23,3000.0
946.25,3000.0
946.268,3333.3333333333335
946.29,2727.2727272727275
946.31,3000.0
946.33,3000.0
946.352,2727.2727272727275
946.37,3333.3333333333335
946.39,3000.0
946.41,3000.0
946.428,3333.3333333333335
946.45,2727.2727272727275
946.472,2727.2727272727275
946.49,3333.3333333333335
946.512,2727.2727272727275
946.532,3000.0
946.55,3333.3333333333335
946.584,1764.705882352941
946.614,2000.0
946.632,3333.3333333333335
946.648,3750.0
946.67,2727.2727272727275
946.688,3333.3333333333335
946.71,2727.2727272727275
946.728,3333.3333333333335
946.75,2727.2727272727275
946.768,3333.3333333333335
946.788,3000.0
946.812,2500.0
946.832,3000.0
946.85,3333.3333333333335
946.87,3000.0
946.89,3000.0
946.912,2727.2727272727275
946.928,3750.0
946.952,2500.0
946.97,3333.3333333333335
946.99,3000.0
947.012,2727.2727272727275
947.03,3333.3333333333335
947.05,3000.0
947.07,3000.0
947.092,2727.2727272727275
947.112,3000.0
947.13,3333.3333333333335
947.152,2727.2727272727275
947.172,3000.0
947.19,3333.3333333333335
947.216,2307.6923076923076
947.252,1666.6666666666667
947.27,3333.3333333333335
947.288,3333.3333333333335
947.31,2727.2727272727275
947.332,2727.2727272727275
947.352,3000.0
947.37,3333.3333333333335
947.392,2727.2727272727275
947.412,3000.0
947.43,3333.3333333333335
947.452,2727.2727272727275
947.472,3000.0
947.49,3333.3333333333335
947.508,3333.3333333333335
947.53,2727.2727272727275
947.55,3000.0
947.57,3000.0
947.592,2727.2727272727275
947.606,4285.714285714285
947.63,2500.0
947.652,2727.2727272727275
947.67,3333.3333333333335
947.688,3333.3333333333335
947.71,2727.2727272727275
947.73,3000.0
947.75,3000.0
947.772,2727.2727272727275
947.792,3000.0
947.812,3000.0
947.83,3333.3333333333335
947.852,2727.2727272727275
947.868,3750.0
947.908,1500.0
947.93,2727.2727272727275
947.95,3000.0
947.97,3000.0
947.994,2500.0
948.01,3750.0
948.026,3750.0
948.052,2307.6923076923076
948.068,3750.0
948.092,2500.0
948.112,3000.0
948.132,3000.0
948.154,2727.2727272727275
948.17,3750.0
948.192,2727.2727272727275
948.212,3000.0
948.228,3750.0
948.25,2727.2727272727275
948.272,2727.2727272727275
948.29,3333.3333333333335
948.308,3333.3333333333335
948.328,3000.0
948.352,2500.0
948.37,3333.3333333333335
948.39,3000.0
948.412,2727.2727272727275
948.432,3000.0
948.448,3750.0
948.472,2500.0
948.49,3333.3333333333335
948.508,3333.3333333333335
948.532,2500.0
948.57,1578.9473684210527
948.592,2727.2727272727275
948.61,3333.3333333333335
948.63,3000.0
948.652,2727.2727272727275
948.668,3750.0
948.69,2727.2727272727275
948.708,3333.3333333333335
948.732,2500.0
948.75,3333.3333333333335
948.77,3000.0
948.79,3000.0
948.81,3000.0
948.832,2727.2727272727275
948.85,3333.3333333333335
948.87,3000.0
948.892,2727.2727272727275
948.912,3000.0
948.93,3333.3333333333335
948.95,3000.0
948.97,3000.0
948.984,4285.714285714285
948.99,10000.0
949.012,2727.2727272727275
949.034,2727.2727272727275
949.048,4285.714285714285
949.072,2500.0
949.09,3333.3333333333335
949.096,10000.0
949.11,4285.714285714285
949.13,3000.0
949.152,2727.2727272727275
949.174,2727.2727272727275
949.19,3750.0
949.234,1363.6363636363637
949.248,4285.714285714285
949.254,10000.0
949.264,6000.0
949.29,2307.6923076923076
949.312,2727.2727272727275
949.33,3333.3333333333335
949.348,3333.3333333333335
949.364,3750.0
949.368,15000.0
949.39,2727.2727272727275
949.4,6000.0
949.408,7500.0
949.428,3000.0
949.436,7500.0
949.444,7500.0
949.452,7500.0
949.47,3333.3333333333335
949.476,10000.0
949.488,5000.0
949.51,2727.2727272727275
949.532,2727.2727272727275
949.548,3750.0
949.574,2307.6923076923076
949.608,1764.705882352941
949.624,3750.0
949.632,7500.0
949.644,5000.0
949.658,4285.714285714285
949.672,4285.714285714285
949.69,3333.3333333333335
949.714,2500.0
949.734,3000.0
949.748,4285.714285714285
949.774,2307.6923076923076
949.794,3000.0
949.808,4285.714285714285
949.852,1363.6363636363637
949.87,3333.3333333333335
949.886,3750.0
949.91,2500.0
949.93,3000.0
949.948,3333.3333333333335
949.97,2727.2727272727275
949.992,2727.2727272727275
950.01,3333.3333333333335
950.032,2727.2727272727275
950.05,3333.3333333333335
950.07,3000.0
950.09,3000.0
950.11,3000.0
950.13,3000.0
950.15,3000.0
950.178,2142.8571428571427
950.19,5000.0
950.204,4285.714285714285
950.232,2142.8571428571427
950.248,3750.0
950.274,2307.6923076923076
950.29,3750.0
950.294,15000.0
950.312,3333.3333333333335
950.328,3750.0
950.35,2727.2727272727275
950.376,2307.6923076923076
950.39,4285.714285714285
950.408,3333.3333333333335
950.432,2500.0
950.45,3333.3333333333335
950.468,3333.3333333333335
950.498,2000.0
950.532,1764.705882352941
950.574,1428.5714285714284
950.588,4285.714285714285
950.612,2500.0
950.63,3333.3333333333335
